2022-04-13 18:02:29.523 [main] INFO  calculator.Calculator - [SQ ROOT] - 3.0
2022-04-13 18:02:29.527 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2022-04-13 18:02:29.527 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2022-04-13 18:02:29.527 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2022-04-13 18:02:29.528 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2022-04-13 18:02:29.528 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2022-04-13 18:02:29.528 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2022-04-13 18:02:29.529 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2022-04-13 18:02:29.529 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 2.0
2022-04-13 18:02:29.530 [main] INFO  calculator.Calculator - [RESULT - POWER] - 4.0
2022-04-13 18:02:29.530 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2022-04-13 18:02:29.530 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2022-04-13 18:02:29.531 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2022-04-13 18:02:29.531 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2022-04-13 18:02:29.531 [main] INFO  calculator.Calculator - [POWER - 4.0 RAISED TO] 3.0
2022-04-13 18:02:29.532 [main] INFO  calculator.Calculator - [RESULT - POWER] - 64.0
2022-04-13 18:02:29.532 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.4
2022-04-13 18:02:29.532 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2022-04-13 18:02:29.533 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.1
2022-04-13 18:02:29.533 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2022-04-13 18:02:29.534 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2022-04-13 18:02:29.534 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2022-04-13 18:02:29.534 [main] INFO  calculator.Calculator - [SQ ROOT] - 1.0
2022-04-13 18:02:29.534 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.0
